,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID,email,gender,dob.age
0,Skagit,Concrete,98237,2017,CHEVROLET,BOLT EV,238,39.0,POINT (-121.7515 48.53892),PUGET SOUND ENERGY INC,BEV,Y,Mid,herlinde.fritzsch@example.com,herlinde.fritzsch@example.com,female,22
1,Snohomish,Everett,98201,2019,FORD,FUSION,26,38.0,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,PHEV,N,Low,julio.hernandez@example.com,julio.hernandez@example.com,male,44
2,Thurston,Lacey,98516,2020,AUDI,Q5 E,20,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,PHEV,N,Low,mason.roy@example.com,mason.roy@example.com,male,56
3,Grant,Moses Lake,98837,2020,TESLA,MODEL X,293,13.0,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,BEV,Y,High,lorena.baez@example.com,lorena.baez@example.com,female,51
4,Thurston,Rochester,98579,2016,CHEVROLET,VOLT,53,20.0,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,PHEV,Y,Low,stella.young@example.com,stella.young@example.com,female,23
5,Snohomish,Everett,98201,2017,NISSAN,LEAF,107,38.0,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,BEV,Y,Mid,valerie.deutsch@example.com,valerie.deutsch@example.com,female,46
6,Snohomish,Lynnwood,98087,2019,BMW,530E,15,21.0,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,PHEV,N,Low,gianne.windster@example.com,gianne.windster@example.com,female,62
7,Thurston,Olympia,98502,2020,PORSCHE,TAYCAN,192,35.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,BEV,Y,Mid,vanessa.bilstad@example.com,vanessa.bilstad@example.com,female,35
8,Island,Langley,98260,2017,TESLA,MODEL X,200,10.0,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,BEV,Y,Mid,akshatha.kaur@example.com,akshatha.kaur@example.com,female,28
9,Snohomish,Snohomish,98296,2013,FORD,C-MAX,19,44.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,PHEV,N,Low,parimala.prabhakaran@example.com,parimala.prabhakaran@example.com,female,43
10,Snohomish,Edmonds,98026,2013,FIAT,500,87,21.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,BEV,Y,Low,jade.michel@example.com,jade.michel@example.com,female,72
11,Yakima,Yakima,98902,2018,CADILLAC,CT6,31,14.0,POINT (-120.52301 46.60138),PACIFICORP,PHEV,Y,Low,eemeli.tanner@example.com,eemeli.tanner@example.com,male,48
12,Snohomish,Edmonds,98026,2014,FORD,C-MAX,19,32.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,PHEV,N,Low,tommy.gonzalez@example.com,tommy.gonzalez@example.com,male,37
13,Kitsap,Keyport,98345,2018,TESLA,MODEL 3,215,23.0,POINT (-122.62316 47.70251),PUGET SOUND ENERGY INC,BEV,Y,Mid,ella.bergeron@example.com,ella.bergeron@example.com,female,22
14,Snohomish,Marysville,98270,2016,BMW,I3,72,44.0,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,PHEV,Y,Low,rudi.poth@example.com,rudi.poth@example.com,male,53
15,Kittitas,Ellensburg,98926,2020,KIA,NIRO,239,13.0,POINT (-120.54872 46.99703),BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),BEV,Y,Mid,hmd.hydry@example.com,hmd.hydry@example.com,male,38
16,King,Seattle,98102,2016,FORD,FUSION,19,43.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,vivan.rhodes@example.com,vivan.rhodes@example.com,female,37
