,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID
1,Skagit,Concrete,98237,2017,CHEVROLET,BOLT EV,238,39.0,POINT (-121.7515 48.53892),PUGET SOUND ENERGY INC,BEV,Y,Mid,peggy.scherer@example.com
2,Snohomish,Everett,98201,2019,FORD,FUSION,26,38.0,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,PHEV,N,Low,dylan.white@example.com
8,Thurston,Lacey,98516,2020,AUDI,Q5 E,20,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,PHEV,N,Low,christine.day@example.com
9,Grant,Moses Lake,98837,2020,TESLA,MODEL X,293,13.0,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,BEV,Y,High,branka.spasojevic@example.com
10,Thurston,Rochester,98579,2016,CHEVROLET,VOLT,53,20.0,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,PHEV,Y,Low,mhmdmyn.sdr@example.com
17,Snohomish,Everett,98201,2017,NISSAN,LEAF,107,38.0,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,BEV,Y,Mid,anni.ollila@example.com
18,Snohomish,Lynnwood,98087,2019,BMW,530E,15,21.0,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,PHEV,N,Low,diego.martinez@example.com
21,Thurston,Olympia,98502,2020,PORSCHE,TAYCAN,192,35.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,BEV,Y,Mid,alma.castillo@example.com
25,Island,Langley,98260,2017,TESLA,MODEL X,200,10.0,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,BEV,Y,Mid,sanni.ahola@example.com
30,Snohomish,Snohomish,98296,2013,FORD,C-MAX,19,44.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,PHEV,N,Low,cody.obrien@example.com
31,Snohomish,Edmonds,98026,2013,FIAT,500,87,21.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,BEV,Y,Low,tyler.green@example.com
35,Yakima,Yakima,98902,2018,CADILLAC,CT6,31,14.0,POINT (-120.52301 46.60138),PACIFICORP,PHEV,Y,Low,emiliano.tapia@example.com
40,Snohomish,Edmonds,98026,2014,FORD,C-MAX,19,32.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,PHEV,N,Low,samarth.naik@example.com
42,Kitsap,Keyport,98345,2018,TESLA,MODEL 3,215,23.0,POINT (-122.62316 47.70251),PUGET SOUND ENERGY INC,BEV,Y,Mid,antonio.vidal@example.com
46,Snohomish,Marysville,98270,2016,BMW,I3,72,44.0,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,PHEV,Y,Low,clayton.sims@example.com
57,Kittitas,Ellensburg,98926,2020,KIA,NIRO,239,13.0,POINT (-120.54872 46.99703),BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),BEV,Y,Mid,ivana.teodosic@example.com
62,King,Seattle,98102,2016,FORD,FUSION,19,43.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,seth.beck@example.com
66,Spokane,Airway Heights,99001,2020,CHRYSLER,PACIFICA,32,6.0,POINT (-117.59311 47.6443),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,kim.walker@example.com
71,Thurston,Tumwater,98501,2018,HONDA,CLARITY,47,35.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,PHEV,Y,Low,josef.fiksdal@example.com
79,Chelan,Entiat,98822,2019,TESLA,MODEL 3,220,12.0,POINT (-120.20831 47.67562),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Mid,emre.kumcuoglu@example.com
94,King,Seattle,98107,2020,PORSCHE,TAYCAN,203,36.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,zabava.beley@example.com
